"Census","School Name","Category","Year Level","Students"
"14 February 2025","Gowrie Primary School","Gov","Year 2","31"
"14 February 2025","Gowrie Primary School","Gov","Year 3","32"
"14 February 2025","Gowrie Primary School","Gov","Year 5","33"
"14 February 2025","Gowrie Primary School","Gov","Year 6","35"
"14 February 2025","Gungahlin College","Gov","Year 11","557"
"14 February 2025","Gungahlin College","Gov","Year 10","19"
"14 February 2025","Gungahlin College","Gov","Year 12","538"
"14 February 2025","Harrison School","Gov","Kindergarten","87"
"14 February 2025","Harrison School","Gov","Preschool","103"
"14 February 2025","Harrison School","Gov","Year 10","158"
"14 February 2025","Harrison School","Gov","Year 9","149"
"14 February 2025","Harrison School","Gov","Year 2","77"
"14 February 2025","Harrison School","Gov","Year 1","98"
"14 February 2025","Harrison School","Gov","Year 6","132"
"14 February 2025","Harrison School","Gov","Year 7","125"
"14 February 2025","Harrison School","Gov","Year 8","120"
"14 February 2025","Harrison School","Gov","Year 3","126"
"14 February 2025","Harrison School","Gov","Year 4","117"
"14 February 2025","Harrison School","Gov","Year 5","135"
"14 February 2025","Hawker College","Gov","Year 11","321"
"14 February 2025","Hawker College","Gov","Year 12","321"
"14 February 2025","Hawker College","Gov","Mature","1"
"14 February 2025","Hawker Primary School","Gov","Year 6","51"
"14 February 2025","Hawker Primary School","Gov","Preschool","43"
"14 February 2025","Hawker Primary School","Gov","Kindergarten","49"
"14 February 2025","Hawker Primary School","Gov","Year 1","45"
"14 February 2025","Hawker Primary School","Gov","Year 2","42"
"14 February 2025","Hawker Primary School","Gov","Year 3","46"
"14 February 2025","Hawker Primary School","Gov","Year 4","51"
"14 February 2025","Hawker Primary School","Gov","Year 5","55"
"14 February 2025","Holy Family Primary School","Non Gov","Year 3","95"
"14 February 2025","Holy Family Primary School","Non Gov","Preschool","103"
"14 February 2025","Holy Family Primary School","Non Gov","Kindergarten","96"
"14 February 2025","Holy Family Primary School","Non Gov","Year 1","95"
"14 February 2025","Holy Family Primary School","Non Gov","Year 2","93"
"14 February 2025","Holy Family Primary School","Non Gov","year 6","93"
"14 February 2025","Holy Family Primary School","Non Gov","Year 5","80"
"14 February 2025","Holy Family Primary School","Non Gov","Year 4","78"
"14 February 2025","Holy Spirit Primary School","Non Gov","Year 3","106"
"14 February 2025","Holy Spirit Primary School","Non Gov","Year 2","102"
"14 February 2025","Holy Spirit Primary School","Non Gov","Year 1","102"
"14 February 2025","Holy Spirit Primary School","Non Gov","Kindergarten","105"
"14 February 2025","Holy Spirit Primary School","Non Gov","Preschool","103"
"14 February 2025","Holy Spirit Primary School","Non Gov","year 6","97"
"14 February 2025","Holy Spirit Primary School","Non Gov","Year 5","109"
"14 February 2025","Holy Spirit Primary School","Non Gov","Year 4","108"
"14 February 2025","Holy Trinity Primary School","Non Gov","Year 4","56"
"14 February 2025","Holy Trinity Primary School","Non Gov","Year 2","53"
"14 February 2025","Holy Trinity Primary School","Non Gov","Year 1","76"
"14 February 2025","Holy Trinity Primary School","Non Gov","Kindergarten","52"
