"School","SA1","No. of Students"
"Erindale College","80107108706","7"
"Erindale College","80107108806","10"
"Evatt Primary School","80101100406","5"
"Evatt Primary School","80101100705","5"
"Evatt Primary School","80101100714","5"
"Evatt Primary School","80101102102","5"
"Evatt Primary School","10106154225","6"
"Evatt Primary School","80101100707","6"
"Evatt Primary School","80101102505","6"
"Evatt Primary School","80101100708","7"
"Evatt Primary School","80101100405","9"
"Evatt Primary School","80101102103","9"
"Evatt Primary School","80101102104","11"
"Evatt Primary School","80101102503","11"
"Evatt Primary School","80101102101","13"
"Evatt Primary School","80101100712","14"
"Evatt Primary School","80101100713","15"
"Evatt Primary School","80101100709","16"
"Evatt Primary School","80101100710","16"
"Evatt Primary School","80101102105","21"
"Evatt Primary School","80101100711","36"
"Fadden Primary School","80107107609","5"
"Fadden Primary School","80107107701","5"
"Fadden Primary School","80107107905","5"
"Fadden Primary School","80107107904","6"
"Fadden Primary School","80107107601","10"
"Fadden Primary School","80107107605","12"
"Fadden Primary School","80107107602","14"
"Fadden Primary School","80107107608","14"
"Fadden Primary School","80107107606","21"
"Fadden Primary School","80107108303","21"
"Fadden Primary School","80107108301","23"
"Fadden Primary School","80107107604","24"
"Fadden Primary School","80107107603","27"
"Fadden Primary School","80107108302","27"
"Farrer Primary  School","80109110401","9"
"Farrer Primary  School","80109110101","11"
"Farrer Primary  School","80109110404","12"
"Farrer Primary  School","80109110110","13"
"Farrer Primary  School","80109110106","14"
"Farrer Primary  School","80109110108","16"
"Farrer Primary  School","80109110109","16"
"Farrer Primary  School","80109110403","16"
"Farrer Primary  School","80109110405","19"
"Farrer Primary  School","80109110102","21"
"Farrer Primary  School","80109110105","22"
"Farrer Primary  School","80109110107","26"
"Farrer Primary  School","80109110104","28"
"Florey Primary  School","80101102303","5"
"Florey Primary  School","80101102406","5"
"Florey Primary  School","80101102407","6"
"Florey Primary  School","80101100203","7"
"Florey Primary  School","80101100616","7"
"Florey Primary  School","80101102304","7"
"Florey Primary  School","80101102402","8"
"Florey Primary  School","80101102408","9"
"Florey Primary  School","80101100811","10"
"Florey Primary  School","80101102405","11"
"Florey Primary  School","80101100804","15"
"Florey Primary  School","80101100809","15"
"Florey Primary  School","80101100808","16"
"Florey Primary  School","80101100801","17"
"Florey Primary  School","80101100211","19"
"Florey Primary  School","80101100806","21"
"Florey Primary  School","80101100802","22"
"Florey Primary  School","80101100810","23"
"Florey Primary  School","80101100803","28"
"Florey Primary  School","80101100812","28"
"Florey Primary  School","80101100807","29"
"Florey Primary  School","80101100805","37"
"Forrest Primary  School","80106106302","5"
"Forrest Primary  School","80106106304","5"
"Forrest Primary  School","80106106411","5"
"Forrest Primary  School","80106106709","5"
"Forrest Primary  School","80106106715","5"
"Forrest Primary  School","80106106716","5"
"Forrest Primary  School","80106107008","5"
"Forrest Primary  School","80106106206","6"
"Forrest Primary  School","80106106401","6"
"Forrest Primary  School","80106106405","6"
"Forrest Primary  School","80106106706","6"
"Forrest Primary  School","80106112903","6"
"Forrest Primary  School","80106106202","7"
